Fitness,Migration Rate,Normal Allele - Persistence
0.94,0.055,0.4197636
0.94,0.06,0.4117895
0.94,0.065,0.395709
0.94,0.07,0.4040578
0.94,0.075,0.3881915
0.94,0.08,0.3851789
0.94,0.085,0.3805652
0.94,0.09,0.376225
0.94,0.095,0.3739047
0.94,0.1,0.3579986
0.96,0,1
0.96,0.005,0.8880494
0.96,0.01,0.802155
0.96,0.015,0.7258731
0.96,0.02,0.6625149
0.96,0.025,0.6178765
0.96,0.03,0.5771392
0.96,0.035,0.5487392
0.96,0.04,0.5141624
0.96,0.045,0.5024741
0.96,0.05,0.4810571
0.96,0.055,0.4682924
0.96,0.06,0.4551745
0.96,0.065,0.4368914
0.96,0.07,0.4318619
0.96,0.075,0.4324535
0.96,0.08,0.4326165
0.96,0.085,0.4137148
0.96,0.09,0.4252552
0.96,0.095,0.4178303
0.96,0.1,0.4107082
0.98,0,1
0.98,0.005,0.8946104
0.98,0.01,0.8163968
0.98,0.015,0.7506741
0.98,0.02,0.6876091
0.98,0.025,0.6607254
0.98,0.03,0.6106101
0.98,0.035,0.5808437
0.98,0.04,0.5484079
0.98,0.045,0.5447513
0.98,0.05,0.518874
0.98,0.055,0.5051246
0.98,0.06,0.5072264
0.98,0.065,0.4948536
0.98,0.07,0.4827017
0.98,0.075,0.4699214
0.98,0.08,0.4627116
0.98,0.085,0.4652991
0.98,0.09,0.465637
0.98,0.095,0.4557899
0.98,0.1,0.4581019
1,0,1
1,0.005,0.90756
1,0.01,0.83654
1,0.015,0.77032
1,0.02,0.71657
1,0.025,0.67494
1,0.03,0.65092
1,0.035,0.61433
1,0.04,0.5994
1,0.045,0.57428
1,0.05,0.56566
1,0.055,0.54984
1,0.06,0.54695
1,0.065,0.52976
1,0.07,0.52095
1,0.075,0.52183
1,0.08,0.5154
1,0.085,0.5112
1,0.09,0.51184
1,0.095,0.50774
1,0.1,0.51314
