Fitness,Migration Rate,1L1T - Persistence
0.68,0.065,7.01E-05
0.68,0.07,1.00E-05
0.68,0.075,0
0.68,0.08,0
0.68,0.085,0
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0,1
0.7,0.005,0.9845907
0.7,0.01,0.9691184
0.7,0.015,0.9520175
0.7,0.02,0.9336337
0.7,0.025,0.9161812
0.7,0.03,0.8941506
0.7,0.035,0.8710475
0.7,0.04,0.8472528
0.7,0.045,0.8110928
0.7,0.05,0.7404877
0.7,0.055,0.4678993
0.7,0.06,0.063452923
0.7,0.065,0.001622649
0.7,0.07,3.00E-05
0.7,0.075,0
0.7,0.08,2.00E-05
0.7,0.085,0
0.7,0.09,0
0.7,0.095,0
0.7,0.1,0
0.72,0,1
0.72,0.005,0.9858977
0.72,0.01,0.9673334
0.72,0.015,0.9532484
0.72,0.02,0.9324406
0.72,0.025,0.9212829
0.72,0.03,0.9009048
0.72,0.035,0.8765106
0.72,0.04,0.8560742
0.72,0.045,0.8224929
0.72,0.05,0.7793607
0.72,0.055,0.6731189
0.72,0.06,0.3557992
0.72,0.065,0.01096553
0.72,0.07,0.000951892
0.72,0.075,4.00E-05
0.72,0.08,0
0.72,0.085,0
0.72,0.09,0
0.72,0.095,0
0.72,0.1,0
0.74,0,1
0.74,0.005,0.9852133
0.74,0.01,0.9684185
0.74,0.015,0.9548969
0.74,0.02,0.938612
0.74,0.025,0.9186068
0.74,0.03,0.9044506
0.74,0.035,0.8885196
0.74,0.04,0.8610597
0.74,0.045,0.8367231
0.74,0.05,0.8099936
0.74,0.055,0.726374
0.74,0.06,0.5793177
0.74,0.065,0.215105205
0.74,0.07,0.001706075
0.74,0.075,0.000211824
0.74,0.08,5.00E-05
0.74,0.085,0
0.74,0.09,2.00E-05
0.74,0.095,0
0.74,0.1,0
0.76,0,1
0.76,0.005,0.9850567
0.76,0.01,0.9719821
0.76,0.015,0.9582186
0.76,0.02,0.940035
0.76,0.025,0.9231177
0.76,0.03,0.9066965
0.76,0.035,0.891634
0.76,0.04,0.8755626
0.76,0.045,0.847935
0.76,0.05,0.8228233
0.76,0.055,0.7884015
0.76,0.06,0.7220818
0.76,0.065,0.4444359
0.76,0.07,0.082990561
0.76,0.075,0.00414238
0.76,0.08,6.01E-05
0.76,0.085,1.00E-05
0.76,0.09,0
0.76,0.095,0
0.76,0.1,0
0.78,0,1
0.78,0.005,0.9854085
0.78,0.01,0.9718916
0.78,0.015,0.9574217
0.78,0.02,0.940459
0.78,0.025,0.9257734
0.78,0.03,0.9095663
0.78,0.035,0.8944846
0.78,0.04,0.8738231
0.78,0.045,0.8518042
0.78,0.05,0.8281249
0.78,0.055,0.8090468
0.78,0.06,0.7610718
0.78,0.065,0.660671
0.78,0.07,0.38013635
0.78,0.075,0.045562941
0.78,0.08,0.002420188
0.78,0.085,0.000110273
0.78,0.09,2.00E-05
0.78,0.095,0
0.78,0.1,0
0.8,0,1
0.8,0.005,0.9853035
0.8,0.01,0.9733622
0.8,0.015,0.956976
0.8,0.02,0.9444941
0.8,0.025,0.92903
0.8,0.03,0.9126423
0.8,0.035,0.8939227
0.8,0.04,0.8785078
0.8,0.045,0.8586419
0.8,0.05,0.8425336
0.8,0.055,0.8155376
0.8,0.06,0.7920231
0.8,0.065,0.718984
0.8,0.07,0.6058042
0.8,0.075,0.34397132
0.8,0.08,0.034891285
0.8,0.085,0.001714844
0.8,0.09,0.000110253
0.8,0.095,3.00E-05
0.8,0.1,1.00E-05
0.82,0,1
0.82,0.005,0.9867238
0.82,0.01,0.9717986
0.82,0.015,0.9580075
0.82,0.02,0.9424212
0.82,0.025,0.9312576
0.82,0.03,0.9162347
0.82,0.035,0.901193
0.82,0.04,0.8803455
0.82,0.045,0.8684208
0.82,0.05,0.8470034
0.82,0.055,0.8278645
0.82,0.06,0.806908
0.82,0.065,0.7635656
0.82,0.07,0.7022576
0.82,0.075,0.5726901
0.82,0.08,0.33263037
0.82,0.085,0.049507541
0.82,0.09,0.002954387
0.82,0.095,8.02E-05
0.82,0.1,4.00E-05
0.84,0,1
0.84,0.005,0.9870294
0.84,0.01,0.9721542
0.84,0.015,0.9587534
0.84,0.02,0.9445634
0.84,0.025,0.9311607
0.84,0.03,0.9166305
0.84,0.035,0.9040531
0.84,0.04,0.8850007
0.84,0.045,0.8687176
0.84,0.05,0.8541012
0.84,0.055,0.83646
0.84,0.06,0.808401
0.84,0.065,0.7850426
0.84,0.07,0.7431235
0.84,0.075,0.6982248
0.84,0.08,0.5762139
0.84,0.085,0.2735131
0.84,0.09,0.024720113
0.84,0.095,0.002737391
0.84,0.1,3.00E-05
0.86,0,1
0.86,0.005,0.9864752
0.86,0.01,0.9748769
0.86,0.015,0.9609252
0.86,0.02,0.9464403
0.86,0.025,0.9319937
0.86,0.03,0.9155346
0.86,0.035,0.9053459
0.86,0.04,0.8889534
0.86,0.045,0.8770882
0.86,0.05,0.8536694
0.86,0.055,0.8446218
0.86,0.06,0.8198799
0.86,0.065,0.7983361
0.86,0.07,0.7689392
0.86,0.075,0.741415
0.86,0.08,0.6645592
0.86,0.085,0.4563201
0.86,0.09,0.24352245
0.86,0.095,0.045737833
0.86,0.1,0.001084198
0.88,0,1
0.88,0.005,0.9875654
0.88,0.01,0.9730561
0.88,0.015,0.9597057
0.88,0.02,0.9487717
0.88,0.025,0.9344446
0.88,0.03,0.9230557
0.88,0.035,0.9069736
0.88,0.04,0.893051
0.88,0.045,0.8823899
0.88,0.05,0.8638965
0.88,0.055,0.8479084
0.88,0.06,0.8290623
0.88,0.065,0.8153947
0.88,0.07,0.7921155
0.88,0.075,0.7658064
0.88,0.08,0.7233698
0.88,0.085,0.6669361
0.88,0.09,0.5019108
0.88,0.095,0.16091889
0.88,0.1,0.04564329
0.9,0,1
0.9,0.005,0.9873094
0.9,0.01,0.9748743
0.9,0.015,0.9609274
0.9,0.02,0.9493178
0.9,0.025,0.9342069
0.9,0.03,0.923032
0.9,0.035,0.9090653
0.9,0.04,0.8989888
0.9,0.045,0.8797394
0.9,0.05,0.8662689
0.9,0.055,0.8537457
0.9,0.06,0.8380129
0.9,0.065,0.8214161
0.9,0.07,0.8080217
0.9,0.075,0.7809073
0.9,0.08,0.7555345
0.9,0.085,0.7183324
0.9,0.09,0.6334056
0.9,0.095,0.4703692
0.9,0.1,0.18767767
0.92,0,1
0.92,0.005,0.9867369
0.92,0.01,0.9753877
0.92,0.015,0.9615209
0.92,0.02,0.9489079
0.92,0.025,0.9386505
0.92,0.03,0.9251425
0.92,0.035,0.9116741
0.92,0.04,0.9000478
0.92,0.045,0.8858666
0.92,0.05,0.8711095
0.92,0.055,0.854796
0.92,0.06,0.8468366
0.92,0.065,0.8247525
0.92,0.07,0.8148139
0.92,0.075,0.7945938
0.92,0.08,0.7689775
0.92,0.085,0.754943
0.92,0.09,0.7107883
0.92,0.095,0.6573989
0.92,0.1,0.53268
0.94,0,1
0.94,0.005,0.9870168
0.94,0.01,0.9758324
0.94,0.015,0.9639327
0.94,0.02,0.9515151
0.94,0.025,0.9371717
0.94,0.03,0.9282249
0.94,0.035,0.914174
0.94,0.04,0.8999085
0.94,0.045,0.8846104
0.94,0.05,0.873929
0.94,0.055,0.8584574
0.94,0.06,0.848819
0.94,0.065,0.8364911
0.94,0.07,0.8187021
0.94,0.075,0.8054941
0.94,0.08,0.7874325
0.94,0.085,0.7672204
0.94,0.09,0.7469272
0.94,0.095,0.7143171
0.94,0.1,0.658033
0.96,0,1
0.96,0.005,0.9879317
0.96,0.01,0.9760645
0.96,0.015,0.9640338
0.96,0.02,0.9507644
0.96,0.025,0.9426464
0.96,0.03,0.9288403
0.96,0.035,0.9150492
0.96,0.04,0.9018109
0.96,0.045,0.8893322
0.96,0.05,0.8820818
0.96,0.055,0.8642987
0.96,0.06,0.8561329
0.96,0.065,0.8417848
0.96,0.07,0.8265121
0.96,0.075,0.8179533
0.96,0.08,0.8046569
0.96,0.085,0.7838727
0.96,0.09,0.7595882
0.96,0.095,0.7421929
0.96,0.1,0.7229194
0.98,0,1
0.98,0.005,0.9879122
0.98,0.01,0.9762396
0.98,0.015,0.9642946
0.98,0.02,0.9507838
0.98,0.025,0.9393074
0.98,0.03,0.9295286
0.98,0.035,0.9171688
0.98,0.04,0.9063926
0.98,0.045,0.8900778
0.98,0.05,0.8808501
0.98,0.055,0.874423
0.98,0.06,0.8563231
0.98,0.065,0.844301
0.98,0.07,0.8340145
0.98,0.075,0.8255858
0.98,0.08,0.8033081
0.98,0.085,0.7966056
0.98,0.09,0.7789971
0.98,0.095,0.7617268
0.98,0.1,0.7469782
1,0,1
1,0.005,0.9884572
1,0.01,0.9770713
1,0.015,0.9647267
1,0.02,0.9531785
1,0.025,0.9438579
1,0.03,0.9302977
1,0.035,0.9185735
1,0.04,0.9110953
1,0.045,0.8957713
1,0.05,0.8819225
1,0.055,0.8751538
1,0.06,0.8601599
1,0.065,0.8496292
1,0.07,0.8394807
1,0.075,0.8299675
1,0.08,0.8182186
1,0.085,0.8092743
1,0.09,0.7969273
1,0.095,0.7817071
1,0.1,0.7707597
