Fitness,Migration Rate,Normal Allele - Invasion
0.92,0.1,0.0944499
0.94,0.02,0.04833336
0.94,0.025,0.05850104
0.94,0.03,0.07222945
0.94,0.035,0.08058002
0.94,0.04,0.09664974
0.94,0.045,0.10094957
0.94,0.05,0.10397136
0.94,0.055,0.1178505
0.94,0.06,0.1357849
0.94,0.065,0.1288528
0.94,0.07,0.1375373
0.94,0.075,0.1353826
0.94,0.08,0.13285053
0.94,0.085,0.1519924
0.94,0.09,0.1453408
0.94,0.095,0.1504478
0.94,0.1,0.1478212
0.96,0.02,0.06963984
0.96,0.025,0.08420026
0.96,0.03,0.09120012
0.96,0.035,0.1181242
0.96,0.04,0.1260876
0.96,0.045,0.1492219
0.96,0.05,0.1620044
0.96,0.055,0.1705994
0.96,0.06,0.1787326
0.96,0.065,0.2024406
0.96,0.07,0.2087179
0.96,0.075,0.2053482
0.96,0.08,0.2275835
0.96,0.085,0.2256498
0.96,0.09,0.2199561
0.96,0.095,0.2362739
0.96,0.1,0.235775
0.98,0.02,0.08999803
0.98,0.025,0.1193597
0.98,0.03,0.1415568
0.98,0.035,0.1550687
0.98,0.04,0.1774142
0.98,0.045,0.1971766
0.98,0.05,0.2239499
0.98,0.055,0.2399865
0.98,0.06,0.2540952
0.98,0.065,0.2815382
0.98,0.07,0.2984191
0.98,0.075,0.3090209
0.98,0.08,0.3006675
0.98,0.085,0.3294754
0.98,0.09,0.3357488
0.98,0.095,0.3476656
0.98,0.1,0.3453162
1,0.02,0.12432216
1,0.025,0.1600191
1,0.03,0.1705381
1,0.035,0.2233149
1,0.04,0.2402694
1,0.045,0.2848679
1,0.05,0.2982423
1,0.055,0.3204317
1,0.06,0.3538312
1,0.065,0.3741625
1,0.07,0.3984515
1,0.075,0.4196637
1,0.08,0.4040586
1,0.085,0.431883
1,0.09,0.4455556
1,0.095,0.4732733
1,0.1,0.4728078
