Fitness,Migration Rate,2L2T - Persistance
0.96,0.02,0.9470985
0.96,0.025,0.9392805
0.96,0.03,0.9328581
0.96,0.035,0.9244524
0.96,0.04,0.9221697
0.96,0.045,0.9188278
0.96,0.05,0.9141615
0.96,0.055,0.919336
0.96,0.06,0.9169621
0.96,0.065,0.9184105
0.96,0.07,0.9220242
0.96,0.075,0.926844
0.96,0.08,0.9329486
0.96,0.085,0.9322461
0.96,0.09,0.9368745
0.96,0.095,0.9369151
0.96,0.1,0.9391082
0.98,0.02,0.9552488
0.98,0.025,0.9468853
0.98,0.03,0.941633
0.98,0.035,0.935736
0.98,0.04,0.930621
0.98,0.045,0.9265809
0.98,0.05,0.9247043
0.98,0.055,0.9268987
0.98,0.06,0.9280489
0.98,0.065,0.9312581
0.98,0.07,0.9344933
0.98,0.075,0.9357247
0.98,0.08,0.9387167
0.98,0.085,0.9379233
0.98,0.09,0.9449937
0.98,0.095,0.9445252
0.98,0.1,0.9456699
1,0.02,0.9576781
1,0.025,0.9524589
1,0.03,0.9471615
1,0.035,0.9422195
1,0.04,0.9358142
1,0.045,0.9346026
1,0.05,0.9327766
1,0.055,0.9351789
1,0.06,0.9339219
1,0.065,0.9388588
1,0.07,0.9402786
1,0.075,0.9430152
1,0.08,0.9472261
1,0.085,0.9470584
1,0.09,0.9489606
1,0.095,0.9496653
1,0.1,0.9532889
