Migration Rate,Corridor Width,Normal Allele - Invasion
0.085,0.1,0.169289
0.085,0.11,0.176439
0.085,0.12,0.1829005
0.085,0.13,0.1951364
0.085,0.14,0.1843249
0.085,0.15,0.2272694
0.085,0.16,0.2253952
0.085,0.17,0.2257426
0.085,0.18,0.2623474
0.085,0.19,0.2543537
0.085,0.2,0.2577313
0.09,0.01,0.025889965
0.09,0.02,0.04824675
0.09,0.03,0.07096685
0.09,0.04,0.08744798
0.09,0.05,0.08997031
0.09,0.06,0.11610575
0.09,0.07,0.11322781
0.09,0.08,0.1507328
0.09,0.09,0.1625917
0.09,0.1,0.1709389
0.09,0.11,0.1757382
0.09,0.12,0.1862359
0.09,0.13,0.203858
0.09,0.14,0.2210801
0.09,0.15,0.2319841
0.09,0.16,0.2389363
0.09,0.17,0.2349967
0.09,0.18,0.2491862
0.09,0.19,0.2695801
0.09,0.2,0.2665152
0.095,0.01,0.0352917
0.095,0.02,0.0484444
0.095,0.03,0.05936754
0.095,0.04,0.09844843
0.095,0.05,0.11308197
0.095,0.06,0.12356324
0.095,0.07,0.1479239
0.095,0.08,0.1519142
0.095,0.09,0.1869474
0.095,0.1,0.1987863
0.095,0.11,0.1903658
0.095,0.12,0.1980065
0.095,0.13,0.2131909
0.095,0.14,0.2316523
0.095,0.15,0.2481695
0.095,0.16,0.253501
0.095,0.17,0.2723812
0.095,0.18,0.2696678
0.095,0.19,0.282366
0.095,0.2,0.287101
0.1,0.01,0.03528163
0.1,0.02,0.05648128
0.1,0.03,0.07096943
0.1,0.04,0.08857134
0.1,0.05,0.11599544
0.1,0.06,0.13033235
0.1,0.07,0.1471264
0.1,0.08,0.1730986
0.1,0.09,0.1823196
0.1,0.1,0.2070971
0.1,0.11,0.2193196
0.1,0.12,0.2228361
0.1,0.13,0.238969
0.1,0.14,0.2309297
0.1,0.15,0.2666284
0.1,0.16,0.2830745
0.1,0.17,0.2807789
0.1,0.18,0.2732474
0.1,0.19,0.2790604
0.1,0.2,0.311952
0.02,0,0
0.025,0,0
0.03,0,0
0.035,0,0
0.04,0,0
0.045,0,0
0.05,0,0
0.055,0,0
0.06,0,0
0.065,0,0
0.07,0,0
0.075,0,0
0.08,0,0
0.085,0,0
0.09,0,0
0.095,0,0
0.1,0,0
