Migration Rate,Corridor Width,1L1T - Invasion
0.08,0.13,0.014718019
0.08,0.14,0.0158239
0.08,0.15,0.01575165
0.08,0.16,0.0190971
0.08,0.17,0.0192639
0.08,0.18,0.02275038
0.08,0.19,0.02540688
0.08,0.2,0.02650274
0.085,0.01,0.000768376
0.085,0.02,0.001656799
0.085,0.03,0.002040752
0.085,0.04,0.003994073
0.085,0.05,0.004214472
0.085,0.06,0.005924193
0.085,0.07,0.006709197
0.085,0.08,0.008114394
0.085,0.09,0.008458064
0.085,0.1,0.011058951
0.085,0.11,0.012775888
0.085,0.12,0.014496429
0.085,0.13,0.01681872
0.085,0.14,0.01617996
0.085,0.15,0.01957144
0.085,0.16,0.01849156
0.085,0.17,0.02457028
0.085,0.18,0.02526229
0.085,0.19,0.02355015
0.085,0.2,0.0235602
0.09,0.01,0.000725602
0.09,0.02,0.001714488
0.09,0.03,0.002980645
0.09,0.04,0.00435914
0.09,0.05,0.004702677
0.09,0.06,0.005729738
0.09,0.07,0.007687003
0.09,0.08,0.009648892
0.09,0.09,0.010201316
0.09,0.1,0.012207233
0.09,0.11,0.0143214
0.09,0.12,0.014555286
0.09,0.13,0.01552611
0.09,0.14,0.01614309
0.09,0.15,0.0175512
0.09,0.16,0.01942346
0.09,0.17,0.02465558
0.09,0.18,0.02295972
0.09,0.19,0.02565634
0.09,0.2,0.02351881
0.095,0.01,0.000691347
0.095,0.02,0.002008597
0.095,0.03,0.002664171
0.095,0.04,0.004013679
0.095,0.05,0.005190413
0.095,0.06,0.006315133
0.095,0.07,0.0075231
0.095,0.08,0.009583682
0.095,0.09,0.011004429
0.095,0.1,0.013193428
0.095,0.11,0.01275513
0.095,0.12,0.015255519
0.095,0.13,0.01744452
0.095,0.14,0.01950051
0.095,0.15,0.01941327
0.095,0.16,0.01887251
0.095,0.17,0.02246402
0.095,0.18,0.02644039
0.095,0.19,0.02912115
0.095,0.2,0.02866162
0.1,0.01,0.000873221
0.1,0.02,0.002042407
0.1,0.03,0.002432476
0.1,0.04,0.004278221
0.1,0.05,0.005739757
0.1,0.06,0.006759323
0.1,0.07,0.008544181
0.1,0.08,0.010138015
0.1,0.09,0.0133939
0.1,0.1,0.01255232
0.1,0.11,0.01224013
0.1,0.12,0.01823337
0.1,0.13,0.01829093
0.1,0.14,0.02072391
0.1,0.15,0.02126381
0.1,0.16,0.02131823
0.1,0.17,0.0241693
0.1,0.18,0.02366318
0.1,0.19,0.02428727
0.1,0.2,0.02788792
0.02,0,0
0.025,0,0
0.03,0,0
0.035,0,0
0.04,0,0
0.045,0,0
0.05,0,0
0.055,0,0
0.06,0,0
0.065,0,0
0.07,0,0
0.075,0,0
0.08,0,0
0.085,0,0
0.09,0,0
0.095,0,0
0.1,0,0
