Fitness,Migration Rate,2L2T - Persistance
0.92,0.1,0.9521932
0.94,0.02,0.9853214
0.94,0.025,0.9791855
0.94,0.03,0.9740546
0.94,0.035,0.9704601
0.94,0.04,0.9639749
0.94,0.045,0.9585147
0.94,0.05,0.9593486
0.94,0.055,0.9536528
0.94,0.06,0.9515723
0.94,0.065,0.9512456
0.94,0.07,0.9535424
0.94,0.075,0.9513296
0.94,0.08,0.9549221
0.94,0.085,0.9523892
0.94,0.09,0.95785
0.94,0.095,0.9597901
0.94,0.1,0.9569161
0.96,0.02,0.9884407
0.96,0.025,0.9836851
0.96,0.03,0.9775886
0.96,0.035,0.9734473
0.96,0.04,0.9703164
0.96,0.045,0.9678952
0.96,0.05,0.9657267
0.96,0.055,0.9635243
0.96,0.06,0.964461
0.96,0.065,0.9610666
0.96,0.07,0.9612481
0.96,0.075,0.9600275
0.96,0.08,0.964095
0.96,0.085,0.9655626
0.96,0.09,0.9631627
0.96,0.095,0.9665658
0.96,0.1,0.9644667
0.98,0.02,0.9905774
0.98,0.025,0.9861904
0.98,0.03,0.9824504
0.98,0.035,0.9778638
0.98,0.04,0.9759558
0.98,0.045,0.9728674
0.98,0.05,0.9720476
0.98,0.055,0.9685204
0.98,0.06,0.9680162
0.98,0.065,0.9677728
0.98,0.07,0.9707667
0.98,0.075,0.9678134
0.98,0.08,0.967759
0.98,0.085,0.970837
0.98,0.09,0.9703805
0.98,0.095,0.9713696
0.98,0.1,0.9707113
1,0.02,0.9925614
1,0.025,0.9900245
1,0.03,0.9851034
1,0.035,0.9847745
1,0.04,0.9794097
1,0.045,0.979307
1,0.05,0.9767711
1,0.055,0.974391
1,0.06,0.9772922
1,0.065,0.9749341
1,0.07,0.9753305
1,0.075,0.9740357
1,0.08,0.9779755
1,0.085,0.9754351
1,0.09,0.9762692
1,0.095,0.9801839
1,0.1,0.9763846
