Fitness,Migration Rate,RCT - Invasion
0.94,0.09,0.005714592
0.96,0.09,0.009096539
0.98,0.09,0.01037487
1,0.09,0.012739231
0.6,0.095,0
0.62,0.095,0
0.64,0.095,0
0.66,0.095,0
0.68,0.095,0
0.7,0.095,0
0.72,0.095,0
0.74,0.095,0.000248805
0.76,0.095,0.000894273
0.78,0.095,0.001442124
0.8,0.095,0.001667313
0.82,0.095,0.002396162
0.84,0.095,0.002935437
0.86,0.095,0.003636969
0.88,0.095,0.004487913
0.9,0.095,0.004900551
0.92,0.095,0.005835081
0.94,0.095,0.008018171
0.96,0.095,0.009158509
0.98,0.095,0.01191834
1,0.095,0.014661244
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,0
0.7,0.1,0
0.72,0.1,8.17E-06
0.74,0.1,0.000367837
0.76,0.1,0.001164496
0.78,0.1,0.00177069
0.8,0.1,0.002492547
0.82,0.1,0.002645957
0.84,0.1,0.003389243
0.86,0.1,0.004011162
0.88,0.1,0.005251501
0.9,0.1,0.00607739
0.92,0.1,0.006951288
0.94,0.1,0.008727555
0.96,0.1,0.010295154
0.98,0.1,0.012095137
1,0.1,0.0146868
