Fitness,Migration Rate,Normal Allele - Invasion
0.98,0.095,0.3459449
0.98,0.1,0.3500341
1,0,0
1,0.005,0.07269
1,0.01,0.132295
1,0.015,0.181165
1,0.02,0.223525
1,0.025,0.257795
1,0.03,0.28686
1,0.035,0.30659
1,0.04,0.322675
1,0.045,0.34373
1,0.05,0.34767
1,0.055,0.35807
1,0.06,0.37229
1,0.065,0.377535
1,0.07,0.38594
1,0.075,0.38483
1,0.08,0.387865
1,0.085,0.39471
1,0.09,0.39209
1,0.095,0.387625
1,0.1,0.40002
