Fitness,Migration Rate,RCT - Invasion
0.88,0.025,0.053995
0.88,0.03,0.05077
0.88,0.035,0.039255
0.88,0.04,0.01389
0.88,0.045,0.0043
0.88,0.05,0.001565
0.88,0.055,0.000705
0.88,0.06,0.000425
0.88,0.065,0.00023
0.88,0.07,0.000125
0.88,0.075,9.50E-05
0.88,0.08,6.50E-05
0.88,0.085,4.50E-05
0.88,0.09,6.00E-05
0.88,0.095,4.00E-05
0.88,0.1,6.00E-05
0.9,0,0
0.9,0.005,0.01273
0.9,0.01,0.025765
0.9,0.015,0.038225
0.9,0.02,0.048915
0.9,0.025,0.05821
0.9,0.03,0.06007
0.9,0.035,0.05061
0.9,0.04,0.029025
0.9,0.045,0.009615
0.9,0.05,0.003955
0.9,0.055,0.001585
0.9,0.06,0.000825
0.9,0.065,0.000465
0.9,0.07,0.00022
0.9,0.075,0.000265
0.9,0.08,9.50E-05
0.9,0.085,0.000145
0.9,0.09,5.50E-05
0.9,0.095,5.50E-05
0.9,0.1,6.00E-05
0.92,0,0
0.92,0.005,0.01336
0.92,0.01,0.027395
0.92,0.015,0.03973
0.92,0.02,0.05334
0.92,0.025,0.059275
0.92,0.03,0.0669
0.92,0.035,0.06517
0.92,0.04,0.05287
0.92,0.045,0.02462
0.92,0.05,0.010645
0.92,0.055,0.00331
0.92,0.06,0.001505
0.92,0.065,0.000855
0.92,0.07,0.000505
0.92,0.075,0.00019
0.92,0.08,0.00018
0.92,0.085,0.00018
0.92,0.09,5.50E-05
0.92,0.095,0.000115
0.92,0.1,0.00011
0.94,0,0
0.94,0.005,0.01321
0.94,0.01,0.02801
0.94,0.015,0.04143
0.94,0.02,0.053915
0.94,0.025,0.06425
0.94,0.03,0.07359
0.94,0.035,0.07393
0.94,0.04,0.067065
0.94,0.045,0.046605
0.94,0.05,0.021805
0.94,0.055,0.008595
0.94,0.06,0.003685
0.94,0.065,0.00158
0.94,0.07,0.000855
0.94,0.075,0.000635
0.94,0.08,0.00027
0.94,0.085,0.000215
0.94,0.09,0.00015
0.94,0.095,0.000175
0.94,0.1,8.00E-05
0.96,0,0
0.96,0.005,0.014415
0.96,0.01,0.028485
0.96,0.015,0.041795
