Fitness,Relative Center Density,Normal Allele - Invasion
0.98,1.75,0.2046766
0.98,2,0.2387693
0.98,2.25,0.2564764
0.98,2.5,0.2760719
0.98,2.75,0.3170224
0.98,3,0.3255958
0.98,3.25,0.3390354
0.98,3.5,0.3564724
0.98,3.75,0.3756326
0.98,4,0.4006028
0.98,4.25,0.3960743
0.98,4.5,0.4212265
0.98,4.75,0.4317442
0.98,5,0.4367106
0.98,5.25,0.4460277
0.98,5.5,0.4536289
0.98,5.75,0.466043
0.98,6,0.4717826
1,1,0.1364261
1,1.25,0.1769271
1,1.5,0.2196661
1,1.75,0.2544444
1,2,0.2821129
1,2.25,0.3146786
1,2.5,0.3349746
1,2.75,0.3588767
1,3,0.383495
1,3.25,0.4075093
1,3.5,0.4191142
1,3.75,0.4453879
1,4,0.4475233
1,4.25,0.4625915
1,4.5,0.4782876
1,4.75,0.4886407
1,5,0.4991607
1,5.25,0.5037005
1,5.5,0.523212
1,5.75,0.5316857
1,6,0.5324062
