Fitness,Corridor Width,1L1T - Persistance
0.84,0.05,0.9720642
0.86,0.05,0.9742592
0.88,0.05,0.9784963
0.9,0.05,0.9826973
0.92,0.05,0.9831634
0.94,0.05,0.9882747
0.96,0.05,0.9920931
0.98,0.05,0.9924477
1,0.05,0.995647
0.6,0.06,0
0.62,0.06,0
0.64,0.06,1.71E-05
0.66,0.06,0.015459805
0.68,0.06,0.143401223
0.7,0.06,0.4317025
0.72,0.06,0.7888824
0.74,0.06,0.910083
0.76,0.06,0.9465271
0.78,0.06,0.9483106
0.8,0.06,0.9566823
0.82,0.06,0.9600381
0.84,0.06,0.9643107
0.86,0.06,0.9644226
0.88,0.06,0.9683811
0.9,0.06,0.9735212
0.92,0.06,0.9785028
0.94,0.06,0.9810562
0.96,0.06,0.9855813
0.98,0.06,0.990792
1,0.06,0.9948725
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0.00016896
0.68,0.07,0.018519249
0.7,0.07,0.1980543
0.72,0.07,0.5065672
0.74,0.07,0.7527575
0.76,0.07,0.8964776
0.78,0.07,0.9292527
0.8,0.07,0.9393136
0.82,0.07,0.9474244
0.84,0.07,0.9529346
0.86,0.07,0.9594821
0.88,0.07,0.9627248
0.9,0.07,0.9644154
0.92,0.07,0.969414
0.94,0.07,0.9744395
0.96,0.07,0.9814977
0.98,0.07,0.9918764
1,0.07,0.9930155
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0.005805509
0.7,0.08,0.122551384
0.72,0.08,0.310479
0.74,0.08,0.6207763
0.76,0.08,0.822899
0.78,0.08,0.8987092
0.8,0.08,0.9182148
0.82,0.08,0.9326259
0.84,0.08,0.9414358
0.86,0.08,0.9450457
0.88,0.08,0.9502451
0.9,0.08,0.9574897
0.92,0.08,0.9628846
0.94,0.08,0.9707785
0.96,0.08,0.980413
0.98,0.08,0.9871493
1,0.08,0.9955607
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,0
0.7,0.09,0.04156561
0.72,0.09,0.2394939
0.74,0.09,0.5143102
0.76,0.09,0.7264532
0.78,0.09,0.8406034
0.8,0.09,0.8973918
0.82,0.09,0.9111382
0.84,0.09,0.9297077
0.86,0.09,0.9318073
0.88,0.09,0.9399242
0.9,0.09,0.9485644
0.92,0.09,0.9572113
0.94,0.09,0.9621842
0.96,0.09,0.9778635
0.98,0.09,0.9876037
1,0.09,0.9896332
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,0
0.7,0.1,0.005108261
0.72,0.1,0.11312879
0.74,0.1,0.3821342
0.76,0.1,0.6375058
0.78,0.1,0.7602008
0.8,0.1,0.8733836
0.82,0.1,0.8988013
0.84,0.1,0.9071248
0.86,0.1,0.9236835
0.88,0.1,0.9330264
0.9,0.1,0.9320949
0.92,0.1,0.9479511
0.94,0.1,0.956584
0.96,0.1,0.9687054
0.98,0.1,0.980744
1,0.1,0.9924637
0.6,0.11,0
0.62,0.11,0
0.64,0.11,0
0.66,0.11,0
0.68,0.11,0
0.7,0.11,0.009177467
0.72,0.11,0.103535617
0.74,0.11,0.261263
0.76,0.11,0.5231534
0.78,0.11,0.692333
0.8,0.11,0.8195722
0.82,0.11,0.8747939
0.84,0.11,0.8915597
0.86,0.11,0.9061154
0.88,0.11,0.9153549
0.9,0.11,0.9307891
0.92,0.11,0.9380458
0.94,0.11,0.9508656
0.96,0.11,0.9669097
0.98,0.11,0.9814369
1,0.11,0.990819
0.6,0.12,0
0.62,0.12,0
0.64,0.12,0
0.66,0.12,0
0.68,0.12,0
0.7,0.12,0.001989931
0.72,0.12,0.063340195
0.74,0.12,0.1914785
0.76,0.12,0.430784
0.78,0.12,0.6102892
0.8,0.12,0.7776392
0.82,0.12,0.8246701
0.84,0.12,0.8757507
0.86,0.12,0.8879582
0.88,0.12,0.9068393
0.9,0.12,0.9156417
0.92,0.12,0.9259462
0.94,0.12,0.9455587
0.96,0.12,0.9629273
0.98,0.12,0.9757395
1,0.12,0.9930605
0.6,0.13,0
0.62,0.13,0
0.64,0.13,0
0.66,0.13,0
0.68,0.13,0
0.7,0.13,0.004526826
0.72,0.13,0.037367764
0.74,0.13,0.17181412
0.76,0.13,0.3225264
0.78,0.13,0.5639898
0.8,0.13,0.7085796
0.82,0.13,0.8047293
0.84,0.13,0.8418937
0.86,0.13,0.8728092
0.88,0.13,0.8897313
0.9,0.13,0.9053549
0.92,0.13,0.9229015
0.94,0.13,0.9363647
0.96,0.13,0.9611396
0.98,0.13,0.9757803
1,0.13,0.9902833
0.6,0.14,0
0.62,0.14,0
0.64,0.14,0
0.66,0.14,0
0.68,0.14,0
0.7,0.14,0.00136371
0.72,0.14,0.016402767
0.74,0.14,0.10690088
0.76,0.14,0.2920743
0.78,0.14,0.4991009
0.8,0.14,0.6557322
0.82,0.14,0.7950414
0.84,0.14,0.8183871
0.86,0.14,0.8495806
0.88,0.14,0.877206
0.9,0.14,0.8925211
0.92,0.14,0.9071003
0.94,0.14,0.9204287
0.96,0.14,0.9513082
0.98,0.14,0.9768742
1,0.14,0.9846949
0.6,0.15,0
0.62,0.15,0
0.64,0.15,0
0.66,0.15,0
0.68,0.15,0
0.7,0.15,0
0.72,0.15,0.014638788
0.74,0.15,0.11365652
0.76,0.15,0.2453444
0.78,0.15,0.4673053
0.8,0.15,0.6240326
0.82,0.15,0.7392714
0.84,0.15,0.7932475
0.86,0.15,0.835213
0.88,0.15,0.8622973
0.9,0.15,0.87865
0.92,0.15,0.8965774
0.94,0.15,0.9198004
0.96,0.15,0.9433534
0.98,0.15,0.9728435
1,0.15,0.985838
0.6,0.16,0
0.62,0.16,0
0.64,0.16,0
0.66,0.16,0
0.68,0.16,0
0.7,0.16,0
0.72,0.16,0.004103863
0.74,0.16,0.08168903
0.76,0.16,0.2461626
0.78,0.16,0.4206545
0.8,0.16,0.5553731
0.82,0.16,0.6935254
0.84,0.16,0.7709462
0.86,0.16,0.8175522
0.88,0.16,0.8394005
0.9,0.16,0.8574926
0.92,0.16,0.8868188
0.94,0.16,0.9181414
0.96,0.16,0.9416474
0.98,0.16,0.972101
1,0.16,0.984624
0.6,0.17,0
0.62,0.17,0
0.64,0.17,0
0.66,0.17,0
0.68,0.17,0
0.7,0.17,0
0.72,0.17,0.001953769
0.74,0.17,0.06888107
0.76,0.17,0.1892358
0.78,0.17,0.3786879
0.8,0.17,0.5275864
0.82,0.17,0.6623552
0.84,0.17,0.7287299
0.86,0.17,0.7924277
0.88,0.17,0.8223238
0.9,0.17,0.8520656
0.92,0.17,0.8732043
0.94,0.17,0.9012205
0.96,0.17,0.9355664
0.98,0.17,0.9763904
1,0.17,0.9849007
0.6,0.18,0
0.62,0.18,0
0.64,0.18,0
0.66,0.18,0
0.68,0.18,0
0.7,0.18,0
0.72,0.18,0.000205284
0.74,0.18,0.050725008
0.76,0.18,0.1816348
0.78,0.18,0.3120689
0.8,0.18,0.4810186
0.82,0.18,0.6286112
0.84,0.18,0.7085661
0.86,0.18,0.7706571
0.88,0.18,0.8243369
0.9,0.18,0.8386277
0.92,0.18,0.8660199
0.94,0.18,0.8897447
0.96,0.18,0.9317846
0.98,0.18,0.9696566
1,0.18,0.9804829
0.6,0.19,0
0.62,0.19,0
0.64,0.19,0
0.66,0.19,0
0.68,0.19,0
0.7,0.19,0
0.72,0.19,1.52E-05
0.74,0.19,0.030352329
0.76,0.19,0.15584358
0.78,0.19,0.3130539
0.8,0.19,0.480009
0.82,0.19,0.6056317
0.84,0.19,0.6957223
0.86,0.19,0.7519476
0.88,0.19,0.7911151
0.9,0.19,0.823789
0.92,0.19,0.8556455
0.94,0.19,0.8877939
0.96,0.19,0.9344659
0.98,0.19,0.9578922
1,0.19,0.9833519
0.6,0.2,0
0.62,0.2,0
0.64,0.2,0
0.66,0.2,0
0.68,0.2,0
0.7,0.2,0
0.72,0.2,6.00E-05
0.74,0.2,0.022468369
0.76,0.2,0.12080998
0.78,0.2,0.2824764
0.8,0.2,0.4284772
0.82,0.2,0.5416582
0.84,0.2,0.6572448
0.86,0.2,0.7360121
0.88,0.2,0.7786878
0.9,0.2,0.8120727
0.92,0.2,0.8446191
0.94,0.2,0.8803858
0.96,0.2,0.9204678
0.98,0.2,0.9562455
1,0.2,0.984353
0.6,0,1
0.62,0,1
0.64,0,1
0.66,0,1
0.68,0,1
0.7,0,1
0.72,0,1
0.74,0,1
0.76,0,1
0.78,0,1
0.8,0,1
0.82,0,1
0.84,0,1
0.86,0,1
0.88,0,1
0.9,0,1
0.92,0,1
0.94,0,1
0.96,0,1
0.98,0,1
1,0,1
