Fitness,Corridor Width,Normal Allele - Persistance
0.9,0.15,0.2179085
0.92,0.15,0.4135626
0.94,0.15,0.5650588
0.96,0.15,0.6923389
0.98,0.15,0.8191437
1,0.15,0.8854306
0.6,0.16,0
0.62,0.16,0
0.64,0.16,0
0.66,0.16,0
0.68,0.16,0
0.7,0.16,1.58E-05
0.72,0.16,0
0.74,0.16,0.000263628
0.76,0.16,0.000301676
0.78,0.16,0.001838615
0.8,0.16,0.003409006
0.82,0.16,0.009029872
0.84,0.16,0.02127702
0.86,0.16,0.05808774
0.88,0.16,0.10977916
0.9,0.16,0.244817
0.92,0.16,0.3617952
0.94,0.16,0.5493424
0.96,0.16,0.684961
0.98,0.16,0.8071491
1,0.16,0.87716
0.6,0.17,0
0.62,0.17,0
0.64,0.17,0
0.66,0.17,0
0.68,0.17,0
0.7,0.17,1.57E-05
0.72,0.17,4.78E-05
0.74,0.17,0.000109404
0.76,0.17,0.000331153
0.78,0.17,0.000689563
0.8,0.17,0.00334454
0.82,0.17,0.006174279
0.84,0.17,0.02285243
0.86,0.17,0.05875049
0.88,0.17,0.11392047
0.9,0.17,0.2072667
0.92,0.17,0.3833656
0.94,0.17,0.5124463
0.96,0.17,0.702341
0.98,0.17,0.8043305
1,0.17,0.8798959
0.6,0.18,0
0.62,0.18,0
0.64,0.18,0
0.66,0.18,0
0.68,0.18,0
0.7,0.18,0
0.72,0.18,2.36E-05
0.74,0.18,0.000148965
0.76,0.18,0.000323273
0.78,0.18,0.000868959
0.8,0.18,0.002956633
0.82,0.18,0.00642011
0.84,0.18,0.0218105
0.86,0.18,0.04709211
0.88,0.18,0.11686932
0.9,0.18,0.1957198
0.92,0.18,0.3457887
0.94,0.18,0.5235922
0.96,0.18,0.6842616
0.98,0.18,0.8097881
1,0.18,0.8668142
0.6,0.19,0
0.62,0.19,0
0.64,0.19,0
0.66,0.19,0
0.68,0.19,0
0.7,0.19,3.03E-05
0.72,0.19,0
0.74,0.19,0.000101145
0.76,0.19,0.000276792
0.78,0.19,0.000721694
0.8,0.19,0.003126601
0.82,0.19,0.006412117
0.84,0.19,0.01924891
0.86,0.19,0.04643866
0.88,0.19,0.11381824
0.9,0.19,0.1956197
0.92,0.19,0.3612225
0.94,0.19,0.4909588
0.96,0.19,0.6375308
0.98,0.19,0.7747903
1,0.19,0.8656836
0.6,0.2,0
0.62,0.2,0
0.64,0.2,0
0.66,0.2,0
0.68,0.2,0
0.7,0.2,0
0.72,0.2,6.96E-05
0.74,0.2,7.68E-05
0.76,0.2,0.000288285
0.78,0.2,0.000732386
0.8,0.2,0.002639143
0.82,0.2,0.006568377
0.84,0.2,0.01794008
0.86,0.2,0.04651403
0.88,0.2,0.10238325
0.9,0.2,0.1838563
0.92,0.2,0.3203591
0.94,0.2,0.4969182
0.96,0.2,0.662829
0.98,0.2,0.7696037
1,0.2,0.8521435
0.6,0,1
0.62,0,1
0.64,0,1
0.66,0,1
0.68,0,1
0.7,0,1
0.72,0,1
0.74,0,1
0.76,0,1
0.78,0,1
0.8,0,1
0.82,0,1
0.84,0,1
0.86,0,1
0.88,0,1
0.9,0,1
0.92,0,1
0.94,0,1
0.96,0,1
0.98,0,1
1,0,1
