Migration Rate,Relative Center Density,Normal Allele - Persistance
0.09,3,0.4956965
0.09,3.25,0.5277011
0.09,3.5,0.5466673
0.09,3.75,0.5546707
0.09,4,0.5817866
0.09,4.25,0.5997329
0.09,4.5,0.6195616
0.09,4.75,0.6302232
0.09,5,0.6348545
0.09,5.25,0.6428515
0.09,5.5,0.6655253
0.09,5.75,0.6743218
0.09,6,0.6782956
0.095,1,0.145672
0.095,1.25,0.2113148
0.095,1.5,0.275128
0.095,1.75,0.3004913
0.095,2,0.3640997
0.095,2.25,0.3887579
0.095,2.5,0.4287535
0.095,2.75,0.4680839
0.095,3,0.4992598
0.095,3.25,0.5221206
0.095,3.5,0.5382256
0.095,3.75,0.5643697
0.095,4,0.5834918
0.095,4.25,0.5970267
0.095,4.5,0.6175596
0.095,4.75,0.6282237
0.095,5,0.6424287
0.095,5.25,0.646206
0.095,5.5,0.6647497
0.095,5.75,0.676052
0.095,6,0.6770473
0.1,1,0.158502
0.1,1.25,0.2130659
0.1,1.5,0.257926
0.1,1.75,0.304902
0.1,2,0.3535329
0.1,2.25,0.3897911
0.1,2.5,0.4287529
0.1,2.75,0.466114
0.1,3,0.4881635
0.1,3.25,0.5134434
0.1,3.5,0.5502587
0.1,3.75,0.5692157
0.1,4,0.5796211
0.1,4.25,0.6002723
0.1,4.5,0.6248921
0.1,4.75,0.6346408
0.1,5,0.6418678
0.1,5.25,0.6543052
0.1,5.5,0.6615527
0.1,5.75,0.6703974
0.1,6,0.6751093
