Migration Rate,Relative Center Density,2L2T - Persistance
0.095,2,0.9506494
0.095,2.25,0.9538556
0.095,2.5,0.9554908
0.095,2.75,0.9595786
0.095,3,0.9603751
0.095,3.25,0.9623712
0.095,3.5,0.9625843
0.095,3.75,0.9636467
0.095,4,0.9617754
0.095,4.25,0.9627784
0.095,4.5,0.9647335
0.095,4.75,0.9633297
0.095,5,0.9667849
0.095,5.25,0.9650569
0.095,5.5,0.9652056
0.095,5.75,0.967161
0.095,6,0.9668793
0.1,1,0
0.1,1.25,0.037241127
0.1,1.5,0.930579
0.1,1.75,0.9445302
0.1,2,0.9529434
0.1,2.25,0.9544269
0.1,2.5,0.958245
0.1,2.75,0.9586842
0.1,3,0.9609977
0.1,3.25,0.9621768
0.1,3.5,0.961488
0.1,3.75,0.9623492
0.1,4,0.9660013
0.1,4.25,0.963413
0.1,4.5,0.9642793
0.1,4.75,0.9654754
0.1,5,0.9658145
0.1,5.25,0.9660556
0.1,5.5,0.9661275
0.1,5.75,0.9649047
0.1,6,0.9675533
