Migration Rate,Relative Center Density,2L2T - Invasion
0.075,4.25,0.9585868
0.075,4.5,0.9604228
0.075,4.75,0.961343
0.075,5,0.9625683
0.075,5.25,0.9617998
0.075,5.5,0.962245
0.075,5.75,0.9614636
0.075,6,0.9622893
0.08,1,4.64E-05
0.08,1.25,0.6383966
0.08,1.5,0.8977082
0.08,1.75,0.9313812
0.08,2,0.9402
0.08,2.25,0.9464585
0.08,2.5,0.9483933
0.08,2.75,0.9521231
0.08,3,0.9535858
0.08,3.25,0.9558527
0.08,3.5,0.9567468
0.08,3.75,0.9592779
0.08,4,0.9602537
0.08,4.25,0.9605049
0.08,4.5,0.9607271
0.08,4.75,0.9613559
0.08,5,0.9636499
0.08,5.25,0.9652993
0.08,5.5,0.9633178
0.08,5.75,0.9640718
0.08,6,0.9640359
0.085,1,5.79E-06
0.085,1.25,0.5708299
0.085,1.5,0.9166768
0.085,1.75,0.9351695
0.085,2,0.9442258
0.085,2.25,0.9489136
0.085,2.5,0.9568133
0.085,2.75,0.9543007
0.085,3,0.9581045
0.085,3.25,0.955721
0.085,3.5,0.9600668
0.085,3.75,0.9595089
0.085,4,0.9603856
0.085,4.25,0.9635055
0.085,4.5,0.9634069
0.085,4.75,0.9654345
0.085,5,0.9631728
0.085,5.25,0.9657698
0.085,5.5,0.9642986
0.085,5.75,0.9643613
0.085,6,0.9649928
0.09,1,0
0.09,1.25,0.5623745
0.09,1.5,0.9213977
0.09,1.75,0.9400996
0.09,2,0.9466766
0.09,2.25,0.9513122
0.09,2.5,0.9541418
0.09,2.75,0.9568937
0.09,3,0.9608982
0.09,3.25,0.9593547
0.09,3.5,0.9599478
0.09,3.75,0.9624861
0.09,4,0.9619967
0.09,4.25,0.9621518
0.09,4.5,0.964235
0.09,4.75,0.9624742
0.09,5,0.965547
0.09,5.25,0.9647458
0.09,5.5,0.9657664
0.09,5.75,0.9658687
0.09,6,0.9665482
0.095,1,0
0.095,1.25,0.141288636
0.095,1.5,0.9255363
0.095,1.75,0.9414576
0.095,2,0.9484607
0.095,2.25,0.9541207
0.095,2.5,0.9553858
0.095,2.75,0.9591879
0.095,3,0.9601339
0.095,3.25,0.9609909
0.095,3.5,0.9609952
0.095,3.75,0.96186
0.095,4,0.9621935
0.095,4.25,0.963073
0.095,4.5,0.9636028
0.095,4.75,0.9651432
0.095,5,0.9675602
0.095,5.25,0.9655608
0.095,5.5,0.9652512
0.095,5.75,0.9668455
0.095,6,0.9671576
0.1,1,0
0.1,1.25,0.00869503
0.1,1.5,0.9298324
0.1,1.75,0.945365
0.1,2,0.9505133
0.1,2.25,0.9550154
0.1,2.5,0.9578659
0.1,2.75,0.9584053
0.1,3,0.9590975
0.1,3.25,0.9605067
0.1,3.5,0.9603615
0.1,3.75,0.9615078
0.1,4,0.9653088
0.1,4.25,0.9634558
0.1,4.5,0.9657444
0.1,4.75,0.9654807
0.1,5,0.9654049
0.1,5.25,0.9669686
0.1,5.5,0.9666556
0.1,5.75,0.9657452
0.1,6,0.9671208
