Fitness,Migration Rate,1L1T - Persistance
0.68,0.095,0
0.7,0.095,8.34E-06
0.72,0.095,0.105468084
0.74,0.095,0.8415161
0.76,0.095,0.903002
0.78,0.095,0.9160495
0.8,0.095,0.9289558
0.82,0.095,0.9403289
0.84,0.095,0.944696
0.86,0.095,0.951046
0.88,0.095,0.9606922
0.9,0.095,0.9643513
0.92,0.095,0.9697702
0.94,0.095,0.9741634
0.96,0.095,0.980886
0.98,0.095,0.9839211
1,0.095,0.988255
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,0
0.7,0.1,0
0.72,0.1,0.447678639
0.74,0.1,0.8777442
0.76,0.1,0.9038551
0.78,0.1,0.9190773
0.8,0.1,0.9337178
0.82,0.1,0.9396006
0.84,0.1,0.9487014
0.86,0.1,0.9510879
0.88,0.1,0.9614355
0.9,0.1,0.9674011
0.92,0.1,0.9703364
0.94,0.1,0.9731757
0.96,0.1,0.9800303
0.98,0.1,0.9833632
1,0.1,0.9873015
