Fitness,Migration Rate,Normal Allele - Persistance
0.9,0.095,0.08943232
0.92,0.095,0.1866868
0.94,0.095,0.3724479
0.96,0.095,0.5504649
0.98,0.095,0.7030798
1,0.095,0.8021593
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,0
0.7,0.1,0
0.72,0.1,0
0.74,0.1,2.48E-05
0.76,0.1,0
0.78,0.1,4.11E-05
0.8,0.1,0.000579649
0.82,0.1,0.001063917
0.84,0.1,0.004160625
0.86,0.1,0.012861733
0.88,0.1,0.03416825
0.9,0.1,0.08390527
0.92,0.1,0.1697559
0.94,0.1,0.3346221
0.96,0.1,0.5120263
0.98,0.1,0.6817101
1,0.1,0.8067091
