Fitness,Migration Rate,RCT - Persistance
0.92,0.02,0.92534
0.92,0.025,0.89844
0.92,0.03,0.861535
0.92,0.035,0.771955
0.92,0.04,0.5147
0.92,0.045,0.165795
0.92,0.05,0.0322
0.92,0.055,0.006005
0.92,0.06,0.00216
0.92,0.065,0.001155
0.92,0.07,0.00053
0.92,0.075,0.00033
0.92,0.08,0.00023
0.92,0.085,0.00013
0.92,0.09,0.000155
0.92,0.095,5.50E-05
0.92,0.1,4.50E-05
0.94,0,1
0.94,0.005,0.98422
0.94,0.01,0.965685
0.94,0.015,0.949845
0.94,0.02,0.93213
0.94,0.025,0.906395
0.94,0.03,0.877215
0.94,0.035,0.822735
0.94,0.04,0.695755
0.94,0.045,0.435365
0.94,0.05,0.11572
0.94,0.055,0.027445
0.94,0.06,0.005995
0.94,0.065,0.002555
0.94,0.07,0.001245
0.94,0.075,0.000735
0.94,0.08,0.00051
0.94,0.085,0.000435
0.94,0.09,0.000285
0.94,0.095,0.00011
0.94,0.1,0.000125
0.96,0,0.99999
0.96,0.005,0.98388
0.96,0.01,0.96796
0.96,0.015,0.95062
0.96,0.02,0.934115
0.96,0.025,0.912955
0.96,0.03,0.886765
0.96,0.035,0.850525
0.96,0.04,0.789945
0.96,0.045,0.642095
0.96,0.05,0.364945
0.96,0.055,0.12567
0.96,0.06,0.027435
0.96,0.065,0.00726
0.96,0.07,0.003685
0.96,0.075,0.00112
0.96,0.08,0.000875
0.96,0.085,0.00054
0.96,0.09,0.00045
0.96,0.095,0.00037
0.96,0.1,0.000195
0.98,0,1
0.98,0.005,0.984835
0.98,0.01,0.96894
0.98,0.015,0.952335
0.98,0.02,0.93577
0.98,0.025,0.916535
0.98,0.03,0.89693
0.98,0.035,0.86949
0.98,0.04,0.83128
0.98,0.045,0.747075
0.98,0.05,0.533665
0.98,0.055,0.292035
0.98,0.06,0.09559
0.98,0.065,0.026555
0.98,0.07,0.00794
0.98,0.075,0.004885
0.98,0.08,0.00208
0.98,0.085,0.00095
0.98,0.09,0.000585
0.98,0.095,0.000445
0.98,0.1,0.000415
1,0,0.99999
1,0.005,0.98434
1,0.01,0.969955
1,0.015,0.954165
1,0.02,0.93787
1,0.025,0.921095
1,0.03,0.90493
1,0.035,0.882785
1,0.04,0.84974
1,0.045,0.80255
1,0.05,0.7237
1,0.055,0.54029
1,0.06,0.274715
1,0.065,0.12294
1,0.07,0.022335
1,0.075,0.01199
1,0.08,0.004595
1,0.085,0.00258
1,0.09,0.001545
1,0.095,0.000865
1,0.1,0.000845
