Fitness,Migration Rate,RCT - Invasion
0.92,0.07,0.03077
0.92,0.075,0.02047
0.92,0.08,0.01705
0.92,0.085,0.00852
0.92,0.09,0.00682
0.92,0.095,0.00413
0.92,0.1,0.00261
0.94,0,0
0.94,0.005,0.01388
0.94,0.01,0.02881
0.94,0.015,0.04052
0.94,0.02,0.05453
0.94,0.025,0.06402
0.94,0.03,0.07986
0.94,0.035,0.08834
0.94,0.04,0.09622
0.94,0.045,0.09631
0.94,0.05,0.09371
0.94,0.055,0.09921
0.94,0.06,0.08818
0.94,0.065,0.0613
0.94,0.07,0.06553
0.94,0.075,0.0417
0.94,0.08,0.0253
0.94,0.085,0.02193
0.94,0.09,0.0127
0.94,0.095,0.01433
0.94,0.1,0.01407
0.96,0,0
0.96,0.005,0.01378
0.96,0.01,0.02906
0.96,0.015,0.04348
0.96,0.02,0.05825
0.96,0.025,0.06742
0.96,0.03,0.08365
0.96,0.035,0.09301
0.96,0.04,0.10501
0.96,0.045,0.11625
0.96,0.05,0.12157
0.96,0.055,0.1211
0.96,0.06,0.11489
0.96,0.065,0.12298
0.96,0.07,0.10412
0.96,0.075,0.08335
0.96,0.08,0.05852
0.96,0.085,0.05574
0.96,0.09,0.04681
0.96,0.095,0.04246
0.96,0.1,0.02217
0.98,0,0
0.98,0.005,0.01545
0.98,0.01,0.02938
0.98,0.015,0.04217
0.98,0.02,0.06062
0.98,0.025,0.07522
0.98,0.03,0.0854
0.98,0.035,0.10608
0.98,0.04,0.11647
0.98,0.045,0.12714
0.98,0.05,0.14161
0.98,0.055,0.15196
0.98,0.06,0.16052
0.98,0.065,0.16332
0.98,0.07,0.15585
0.98,0.075,0.15873
0.98,0.08,0.12888
0.98,0.085,0.15987
0.98,0.09,0.11234
0.98,0.095,0.11733
0.98,0.1,0.13026
1,0,0
1,0.005,0.01431
1,0.01,0.03005
1,0.015,0.04747
1,0.02,0.06166
1,0.025,0.07573
1,0.03,0.09284
1,0.035,0.10921
1,0.04,0.12505
1,0.045,0.14408
1,0.05,0.15501
1,0.055,0.17311
1,0.06,0.19013
1,0.065,0.19172
1,0.07,0.22599
1,0.075,0.25875
1,0.08,0.2616
1,0.085,0.31825
1,0.09,0.33412
1,0.095,0.29804
1,0.1,0.31747
