Fitness,Migration Rate,Normal Allele - Invasion
0.94,0.01,0.122466
0.94,0.015,0.1702475
0.94,0.02,0.2055894
0.94,0.025,0.2350468
0.94,0.03,0.2624412
0.94,0.035,0.282662
0.94,0.04,0.3033434
0.94,0.045,0.3105734
0.94,0.05,0.3238531
0.94,0.055,0.3363236
0.94,0.06,0.3380413
0.94,0.065,0.3336604
0.94,0.07,0.358758
0.94,0.075,0.3549313
0.94,0.08,0.3575325
0.94,0.085,0.3516566
0.94,0.09,0.3587642
0.94,0.095,0.3615804
0.94,0.1,0.3564358
0.96,0,0
0.96,0.005,0.07834244
0.96,0.01,0.1391082
0.96,0.015,0.1859625
0.96,0.02,0.2271609
0.96,0.025,0.2630975
0.96,0.03,0.292371
0.96,0.035,0.3094565
0.96,0.04,0.3376328
0.96,0.045,0.3477418
0.96,0.05,0.3625875
0.96,0.055,0.3722834
0.96,0.06,0.378173
0.96,0.065,0.3774799
0.96,0.07,0.3862338
0.96,0.075,0.4009688
0.96,0.08,0.4031287
0.96,0.085,0.3948013
0.96,0.09,0.4028008
0.96,0.095,0.4024821
0.96,0.1,0.4002244
0.98,0,0
0.98,0.005,0.079808
0.98,0.01,0.1468329
0.98,0.015,0.2084314
0.98,0.02,0.2512808
0.98,0.025,0.2923384
0.98,0.03,0.3197395
0.98,0.035,0.3437891
0.98,0.04,0.3673311
0.98,0.045,0.3877963
0.98,0.05,0.4046481
0.98,0.055,0.4138502
0.98,0.06,0.4354308
0.98,0.065,0.4291002
0.98,0.07,0.4339305
0.98,0.075,0.4356296
0.98,0.08,0.4339038
0.98,0.085,0.44072
0.98,0.09,0.4471771
0.98,0.095,0.4412545
0.98,0.1,0.4520798
1,0,0
1,0.005,0.08895
1,0.01,0.17004
1,0.015,0.22522
1,0.02,0.27936
1,0.025,0.31937
1,0.03,0.35396
1,0.035,0.38163
1,0.04,0.40549
1,0.045,0.42821
1,0.05,0.44326
1,0.055,0.45045
1,0.06,0.46514
1,0.065,0.47172
1,0.07,0.47799
1,0.075,0.48607
1,0.08,0.48921
1,0.085,0.49644
1,0.09,0.4817
1,0.095,0.49706
1,0.1,0.49817
